Supercluster,Shortname,AbsoluteIdxToSubfolders,Subcluster,Filename
22,"SM Gi1 Quinpirole 10 uM Quinpirole",32,1,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\10 uM Quinpirole\#09Ch1\Data\analysis_output.mat
22,"SM Gi1 Quinpirole 10 uM Quinpirole",33,1,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\10 uM Quinpirole\#12Ch1\Data\analysis_output.mat
23,"SM Gi1 no treat",34,2,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\no treat\#03Ch1\Data\analysis_output.mat
23,"SM Gi1 no treat",35,2,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\no treat\#06Ch1\Data\analysis_output.mat
23,"SM Gi1 no treat",36,2,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\no treat\#07Ch1\Data\analysis_output.mat
24,"SM Gi1 no treat",37,3,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\no treat\New tracking constants\#01Ch1\Data\analysis_output.mat
24,"SM Gi1 no treat",38,3,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\no treat\New tracking constants\#03Ch1\Data\analysis_output.mat
24,"SM Gi1 no treat",39,3,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\no treat\New tracking constants\#04Ch1\Data\analysis_output.mat
24,"SM Gi1 no treat",40,3,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\no treat\New tracking constants\#05Ch1\Data\analysis_output.mat
24,"SM Gi1 no treat",41,3,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\no treat\New tracking constants\#06Ch1\Data\analysis_output.mat
24,"SM Gi1 no treat",42,3,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\no treat\New tracking constants\#07Ch1\Data\analysis_output.mat
24,"SM Gi1 no treat",43,3,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\alfai1-Halo JF646 0.5 nM\no treat\New tracking constants\#08Ch1\Data\analysis_output.mat
22,"SM Gi1 Quinpirole 10 uM Quinpirole",44,1,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\gamma2-Halo JF646 0.5 nM\10 uM Quinpirole\#02Ch1\Data\analysis_output.mat
22,"SM Gi1 Quinpirole 10 uM Quinpirole",45,1,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\gamma2-Halo JF646 0.5 nM\10 uM Quinpirole\#06Ch1\Data\analysis_output.mat
23,"SM Gi1 no treat",46,2,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\gamma2-Halo JF646 0.5 nM\no treat\#02Ch1\Data\analysis_output.mat
23,"SM Gi1 no treat",47,2,Z:\#BackupMicData\2016 Jul-Oct\160902_SM_alfai1-Halo and gamma2-halo Q controls\Data treat\gamma2-Halo JF646 0.5 nM\no treat\#03Ch1\Data\analysis_output.mat
16,"SM Gi1 no treat",48,1,NO\Empty\#
16,"SM Gi1 no treat",49,1,NO\Empty\#
16,"SM Gi1 no treat",50,1,NO\Empty\#
21,"SM Gi1 D2 PTXR Quinpirole 10 uM Quinpirole",51,3,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\10 uM Quinpirole\#02Ch1\Data\analysis_output.mat
21,"SM Gi1 D2 PTXR Quinpirole 10 uM Quinpirole",52,3,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\10 uM Quinpirole\#05Ch1\Data\analysis_output.mat
20,"SM Gi1 D2 PTXR No treat",53,2,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\No treat\#05Ch1\Data\analysis_output.mat
20,"SM Gi1 D2 PTXR No treat",54,2,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\No treat\#08Ch1\Data\analysis_output.mat
19,"SM Gi1 D2 PTXR No treat",55,1,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\No treat\New tracking constants\#01Ch1\Data\analysis_output.mat
19,"SM Gi1 D2 PTXR No treat",56,1,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\No treat\New tracking constants\#02Ch1\Data\analysis_output.mat
19,"SM Gi1 D2 PTXR No treat",57,1,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\No treat\New tracking constants\#03Ch1\Data\analysis_output.mat
19,"SM Gi1 D2 PTXR No treat",58,1,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\No treat\New tracking constants\#04Ch1\Data\analysis_output.mat
19,"SM Gi1 D2 PTXR No treat",59,1,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\No treat\New tracking constants\#05Ch1\Data\analysis_output.mat
19,"SM Gi1 D2 PTXR No treat",60,1,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\No treat\New tracking constants\#06Ch1\Data\analysis_output.mat
19,"SM Gi1 D2 PTXR No treat",61,1,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\No treat\New tracking constants\#07Ch1\Data\analysis_output.mat
19,"SM Gi1 D2 PTXR No treat",62,1,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\No treat\New tracking constants\#08Ch1\Data\analysis_output.mat
19,"SM Gi1 D2 PTXR No treat",63,1,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\No treat\New tracking constants\#09Ch1\Data\analysis_output.mat
19,"SM Gi1 D2 PTXR No treat",64,1,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\No treat\New tracking constants\#10Ch1\Data\analysis_output.mat
19,"SM Gi1 D2 PTXR No treat",65,1,Z:\#BackupMicData\2017 Jan-Apr\170222_SM_alfa PTXR and PTXS incl. ptx 1.65 obj\alfai1-halo PTXR D2 wt T1\No treat\New tracking constants\#11Ch1\Data\analysis_output.mat
8,"SM Gi1 D2 ins4A 300 ng and 10 uM Qunipirole",66,2,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\10 uM Qunipirole\Batch1\#01Ch1\Data\analysis_output.mat
8,"SM Gi1 D2 ins4A 300 ng and 10 uM Qunipirole",67,2,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\10 uM Qunipirole\Batch1\#02Ch1\Data\analysis_output.mat
8,"SM Gi1 D2 ins4A 300 ng and 10 uM Qunipirole",68,2,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\10 uM Qunipirole\Batch1\#03Ch1\Data\analysis_output.mat
8,"SM Gi1 D2 ins4A 300 ng and 10 uM Qunipirole",69,2,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\10 uM Qunipirole\Batch1\#04Ch1\Data\analysis_output.mat
8,"SM Gi1 D2 ins4A 300 ng and 10 uM Qunipirole",70,2,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\10 uM Qunipirole\Batch2\#05Ch1\Data\analysis_output.mat
8,"SM Gi1 D2 ins4A 300 ng and 10 uM Qunipirole",71,2,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\10 uM Qunipirole\Batch2\#06Ch1\Data\analysis_output.mat
8,"SM Gi1 D2 ins4A 300 ng and 10 uM Qunipirole",72,2,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\10 uM Qunipirole\Batch2\#07Ch1\Data\analysis_output.mat
8,"SM Gi1 D2 ins4A 300 ng and 10 uM Qunipirole",73,2,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\10 uM Qunipirole\Batch2\#08Ch1\Data\analysis_output.mat
10,"SM Gi1 D2 ins4A No Treat 300 ng and",74,4,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\No Treat\Batch1\#01Ch1\Data\analysis_output.mat
10,"SM Gi1 D2 ins4A No Treat 300 ng and",75,4,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\No Treat\Batch1\#02Ch1\Data\analysis_output.mat
10,"SM Gi1 D2 ins4A No Treat 300 ng and",76,4,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\No Treat\Batch1\#03Ch1\Data\analysis_output.mat
10,"SM Gi1 D2 ins4A No Treat 300 ng and",77,4,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\No Treat\Batch1\#04Ch1\Data\analysis_output.mat
10,"SM Gi1 D2 ins4A No Treat 300 ng and",78,4,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\No Treat\Batch2\#05Ch1\Data\analysis_output.mat
10,"SM Gi1 D2 ins4A No Treat 300 ng and",79,4,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\No Treat\Batch2\#06Ch1\Data\analysis_output.mat
10,"SM Gi1 D2 ins4A No Treat 300 ng and",80,4,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T1 D2wt 300 ng and alfa-i1-halo-ins4A\No Treat\Batch2\#07Ch1\Data\analysis_output.mat
11,"SM Gi1 D2 ins4A 1200 ng 10 uM Qunipirole",81,5,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\10 uM Qunipirole\Batch1\#01Ch1\Data\analysis_output.mat
11,"SM Gi1 D2 ins4A 1200 ng 10 uM Qunipirole",82,5,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\10 uM Qunipirole\Batch1\#02Ch1\Data\analysis_output.mat
11,"SM Gi1 D2 ins4A 1200 ng 10 uM Qunipirole",83,5,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\10 uM Qunipirole\Batch1\#03Ch1\Data\analysis_output.mat
11,"SM Gi1 D2 ins4A 1200 ng 10 uM Qunipirole",84,5,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\10 uM Qunipirole\Batch1\#04Ch1\Data\analysis_output.mat
11,"SM Gi1 D2 ins4A 1200 ng 10 uM Qunipirole",85,5,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\10 uM Qunipirole\Batch1\#04Ch1\Data\No NaN MaxK2\analysis_output.mat
11,"SM Gi1 D2 ins4A 1200 ng 10 uM Qunipirole",86,5,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\10 uM Qunipirole\Batch1\#05Ch1\Data\analysis_output.mat
11,"SM Gi1 D2 ins4A 1200 ng 10 uM Qunipirole",87,5,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\10 uM Qunipirole\Batch2\#06Ch1\Data\analysis_output.mat
11,"SM Gi1 D2 ins4A 1200 ng 10 uM Qunipirole",88,5,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\10 uM Qunipirole\Batch2\#07Ch1\Data\analysis_output.mat
11,"SM Gi1 D2 ins4A 1200 ng 10 uM Qunipirole",89,5,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\10 uM Qunipirole\Batch2\#08Ch1\Data\analysis_output.mat
11,"SM Gi1 D2 ins4A 1200 ng 10 uM Qunipirole",90,5,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\10 uM Qunipirole\Batch2\#09Ch1\Data\analysis_output.mat
16,"SM Gi1 no treat",91,1,NO\Empty\#
9,"SM Gi1 D2 ins4A 1200 ng ,1200 ng D2",92,3,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\Evaluating HMMbayes\1200 ng D2\#06Ch1\Test run\Data\analysis_output.mat
7,"SM Gi1 D2 ins4A No Treat 1200 ng",93,1,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\No Treat\Batch1\#01Ch1\Data\analysis_output.mat
7,"SM Gi1 D2 ins4A No Treat 1200 ng",94,1,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\No Treat\Batch1\#02Ch1\Data\analysis_output.mat
7,"SM Gi1 D2 ins4A No Treat 1200 ng",95,1,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\No Treat\Batch1\#03Ch1\Data\analysis_output.mat
7,"SM Gi1 D2 ins4A No Treat 1200 ng",96,1,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\No Treat\Batch1\#04Ch1\Data\analysis_output.mat
7,"SM Gi1 D2 ins4A No Treat 1200 ng",97,1,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\No Treat\Batch2\#05Ch1\Data\analysis_output.mat
7,"SM Gi1 D2 ins4A No Treat 1200 ng",98,1,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\No Treat\Batch2\#06Ch1\Data\analysis_output.mat
7,"SM Gi1 D2 ins4A No Treat 1200 ng",99,1,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\No Treat\Batch2\#07Ch1\Data\analysis_output.mat
7,"SM Gi1 D2 ins4A No Treat 1200 ng",100,1,Z:\#BackupMicData\2017 Jan-Apr\170224_SM_alfa-i1-halo-ins4A 1.65 obj\T2 D2wt 1200 ng  alfa-i1-halo-ins4A\No Treat\Batch2\#08Ch1\Data\analysis_output.mat
4,"SM Gi1 D2 No Treat 200 ng D2,2400 ng No",101,2,Z:\#BackupMicData\2017 Jan-Apr\170310_SM_alfa-i1-halo D2 wt\alfa-i1-halo 200 ng D2 wt 2400 ng\No Treat\Batch1\#01Ch1\Data\analysis_output.mat
4,"SM Gi1 D2 No Treat 200 ng D2,2400 ng No",102,2,Z:\#BackupMicData\2017 Jan-Apr\170310_SM_alfa-i1-halo D2 wt\alfa-i1-halo 200 ng D2 wt 2400 ng\No Treat\Batch1\#02Ch1\Data\Data\analysis_output.mat
4,"SM Gi1 D2 No Treat 200 ng D2,2400 ng No",103,2,Z:\#BackupMicData\2017 Jan-Apr\170310_SM_alfa-i1-halo D2 wt\alfa-i1-halo 200 ng D2 wt 2400 ng\No Treat\Batch1\#03Ch1\Data\analysis_output.mat
4,"SM Gi1 D2 No Treat 200 ng D2,2400 ng No",104,2,Z:\#BackupMicData\2017 Jan-Apr\170310_SM_alfa-i1-halo D2 wt\alfa-i1-halo 200 ng D2 wt 2400 ng\No Treat\Batch1\#04Ch1\Data\analysis_output.mat
4,"SM Gi1 D2 No Treat 200 ng D2,2400 ng No",105,2,Z:\#BackupMicData\2017 Jan-Apr\170310_SM_alfa-i1-halo D2 wt\alfa-i1-halo 200 ng D2 wt 2400 ng\No Treat\Batch1\#05Ch1\Data\analysis_output.mat
4,"SM Gi1 D2 No Treat 200 ng D2,2400 ng No",106,2,Z:\#BackupMicData\2017 Jan-Apr\170310_SM_alfa-i1-halo D2 wt\alfa-i1-halo 200 ng D2 wt 2400 ng\No Treat\Batch2\#06Ch1\Data\analysis_output.mat
4,"SM Gi1 D2 No Treat 200 ng D2,2400 ng No",107,2,Z:\#BackupMicData\2017 Jan-Apr\170310_SM_alfa-i1-halo D2 wt\alfa-i1-halo 200 ng D2 wt 2400 ng\No Treat\Batch2\#07Ch1\Data\analysis_output.mat
4,"SM Gi1 D2 No Treat 200 ng D2,2400 ng No",108,2,Z:\#BackupMicData\2017 Jan-Apr\170310_SM_alfa-i1-halo D2 wt\alfa-i1-halo 200 ng D2 wt 2400 ng\No Treat\Batch2\#08Ch1\Data\analysis_output.mat
4,"SM Gi1 D2 No Treat 200 ng D2,2400 ng No",109,2,Z:\#BackupMicData\2017 Jan-Apr\170310_SM_alfa-i1-halo D2 wt\alfa-i1-halo 200 ng D2 wt 2400 ng\No Treat\Batch2\#09Ch1\Data\analysis_output.mat
